,p5,median,p95
2013.5,0.30862357172734567,0.4306332193501326,0.6378490189641868
2014.5,0.31084959389220884,0.433896880419866,0.6430964495966116
2015.5,0.3133702773854044,0.4375528607758782,0.648727424125138
2016.5,0.3159918113490093,0.4413140554917867,0.6545602007454968
2017.5,0.3185224116359524,0.4449973713486546,0.6603311785348123
2018.5,0.32108932980375887,0.44857870386298443,0.6660873829531722
2019.5,0.3238472817357159,0.4524751971542532,0.672009636215841
2020.5,0.3267435509162397,0.4567264511424338,0.6780599428442249
2021.5,0.32963273616444866,0.46088425940229544,0.6839108018320667
2022.5,0.33245546311354945,0.46484268513954563,0.6896826857270324
2023.5,0.3350887450015788,0.46863169969369917,0.6959711695004375
2024.5,0.3375284154157251,0.4724257877211579,0.7026035130668926
